Service,EC2-Instances,Tax,EC2-Other,Cost Explorer($),CloudWatch($),Relational Database Service,S3($),Key Management Service($),Managed Grafana($),QuickSight($),SNS($),Lambda($),SQS($),Total cost ($)
Service Total,19.65444997,3.74,0.962359447,0.09,0.0031,0.001744355,5.80E-07,0,0,0,0,0,0,24.45165435
01-02-2022,,3.53,,,,,,,,,,,,3.53
02-02-2022,,,,,,,,,,,,,,0
03-02-2022,,,,,,,,,,,,,,0
04-02-2022,,,,,,,,,,,,,,0
05-02-2022,0,,2.431E-07,,,,,0,,,,,,2.43E-07
06-02-2022,,,,,,,,,,,,,,0
07-02-2022,,,,,,,,,,,,,,0
08-02-2022,0,,0.000001366,,,,,0,,,,,,0.000001366
09-02-2022,0,,5.79E-07,,,,,0,,,,,,5.79E-07
10-02-2022,,,0,,,,,,,,,,,0
11-02-2022,,,0,,,,,,,,,,,0
12-02-2022,,,0,,,,,,,,,,,0
13-02-2022,,,0,,,,,,,,,,,0
14-02-2022,,,0,,,,,,,,,,,0
15-02-2022,0.64177645,,0.006157098,,,0,,0,,,,,,0.647933548
16-02-2022,1.688483101,,0.014862739,,,0,,0,,,,,,1.70334584
17-02-2022,1.828894651,,0.001640898,,,0,,,,,,,,1.830535549
18-02-2022,1.1572,,0.00811259,,,0,,0,,,,,,1.16531259
19-02-2022,0.792109791,,0.000375367,,,1.5E-09,,0,,,,,,0.792485159
20-02-2022,0,,4E-10,,,0.001741159,,,,,,,,0.001741159
21-02-2022,,,,,,,,,,,,,,0
22-02-2022,2.58E-08,,0.00381767,,,,,0,,,,,,0.003817696
23-02-2022,,,,,,,,,,,,,,0
24-02-2022,,,,,,,,,,,,,,0
25-02-2022,0,,0.011985203,,,,,0,,,,,,0.011985203
26-02-2022,0,,0.799019884,,,,,0,,,,,,0.799019884
27-02-2022,11.45835279,,0.113686217,,,,,0,,,,,,11.57203901
28-02-2022,1.061973221,,0.002694635,,,3.1919E-06,,0,,,,,,1.064671048
01-03-2022,1.025657444,0.21,0.000001501,,,0,,0,,,,,,1.235658945
02-03-2022,1.2352E-06,,1.1095E-06,,0.00016,0,2.838E-07,0,0,0,0,,,0.000162629
03-03-2022,6.41E-08,,4.4E-09,,0,0,6.6E-09,,,0,,0,,7.51E-08
04-03-2022,0,,4.589E-07,,0,0.000000003,1.876E-07,0,,0,0,0,0,6.50E-07
05-03-2022,0,,1.39E-08,,0,0,2.66E-08,0,,0,0,0,,4.05E-08
06-03-2022,0,,3.33E-08,,0,0,3.55E-08,0,,0,0,0,0,6.88E-08
07-03-2022,1.1961E-06,,1.8365E-06,0.09,0.00294,0,0.00000004,0,,0,0,0,,0.092943073
08-03-2022,,,,,,,,,,,,,,0
